Arrival Rate (pps),Simulation Duration (s),Flow Direction,Packets Sent,Packets Received,Average Delay (s)
43600,1,AP->STA1,43600,968,0.487632
43700,1,AP->STA1,43701,968,0.487671
43800,1,AP->STA1,43801,968,0.487687
43900,1,AP->STA1,43901,968,0.487726
44000,1,AP->STA1,44001,968,0.487742
44100,1,AP->STA1,44100,968,0.487757
44200,1,AP->STA1,44201,968,0.487796
44300,1,AP->STA1,44301,968,0.487811
44400,1,AP->STA1,44400,968,0.487849
44500,1,AP->STA1,44500,968,0.487864
44600,1,AP->STA1,44600,968,0.487902
44700,1,AP->STA1,44701,968,0.487917
44800,1,AP->STA1,44801,968,0.487933
44900,1,AP->STA1,44900,968,0.487969
45000,1,AP->STA1,45001,968,0.487985
45100,1,AP->STA1,45100,968,0.488021
45200,1,AP->STA1,45200,968,0.488036
45300,1,AP->STA1,45301,968,0.488051
45400,1,AP->STA1,45401,968,0.488088
45500,1,AP->STA1,45501,968,0.488102
45600,1,AP->STA1,45600,968,0.488138
45700,1,AP->STA1,45700,968,0.488152
45800,1,AP->STA1,45801,968,0.488167
45900,1,AP->STA1,45902,968,0.488203
46000,1,AP->STA1,46001,968,0.488217
46100,1,AP->STA1,46100,968,0.488252
46200,1,AP->STA1,46201,968,0.488266
46300,1,AP->STA1,46301,968,0.488302
46400,1,AP->STA1,46400,968,0.488315
46500,1,AP->STA1,46501,968,0.488329
46600,1,AP->STA1,46601,968,0.488364
46700,1,AP->STA1,46701,968,0.488378
46800,1,AP->STA1,46799,968,0.488412
46900,1,AP->STA1,46900,968,0.488426
47000,1,AP->STA1,47000,968,0.488439
47100,1,AP->STA1,47101,968,0.488474
47200,1,AP->STA1,47201,968,0.488487
47300,1,AP->STA1,47300,968,0.48852
47400,1,AP->STA1,47401,968,0.488534
47500,1,AP->STA1,47500,968,0.488567
47600,1,AP->STA1,47601,968,0.488581
47700,1,AP->STA1,47701,968,0.488593
47800,1,AP->STA1,47799,968,0.488626
47900,1,AP->STA1,47900,968,0.488639
48000,1,AP->STA1,48001,968,0.488673
48100,1,AP->STA1,48101,968,0.488685
48200,1,AP->STA1,48200,968,0.488698
48300,1,AP->STA1,48300,968,0.488731
48400,1,AP->STA1,48401,968,0.488743
48500,1,AP->STA1,48499,968,0.488775
48600,1,AP->STA1,48601,968,0.488788
48700,1,AP->STA1,48700,968,0.48882
48800,1,AP->STA1,48800,968,0.488832
48900,1,AP->STA1,48900,968,0.488844
49000,1,AP->STA1,49001,968,0.488877
49100,1,AP->STA1,49100,968,0.488888
49200,1,AP->STA1,49201,968,0.488921
49300,1,AP->STA1,49300,968,0.488932
49400,1,AP->STA1,49400,968,0.488944
49500,1,AP->STA1,49501,968,0.488975
49600,1,AP->STA1,49601,968,0.488987
49700,1,AP->STA1,49700,968,0.489018
49800,1,AP->STA1,49801,968,0.48903
49900,1,AP->STA1,49901,968,0.489041
50000,1,AP->STA1,50000,968,0.489072
50100,1,AP->STA1,50101,968,0.489084
50200,1,AP->STA1,50201,968,0.489115
50300,1,AP->STA1,50300,968,0.489125
50400,1,AP->STA1,50401,968,0.489157
50500,1,AP->STA1,50500,968,0.489167
50600,1,AP->STA1,50600,968,0.489178
50700,1,AP->STA1,50700,968,0.489209
50800,1,AP->STA1,50801,968,0.48922
50900,1,AP->STA1,50901,968,0.48925
51000,1,AP->STA1,51000,968,0.48926
51100,1,AP->STA1,51102,968,0.489271
51200,1,AP->STA1,51201,968,0.489301
51300,1,AP->STA1,51301,968,0.489312
51400,1,AP->STA1,51401,968,0.489342
51500,1,AP->STA1,51502,968,0.489352
51600,1,AP->STA1,51600,968,0.489381
51700,1,AP->STA1,51701,968,0.489392
51800,1,AP->STA1,51801,968,0.489402
51900,1,AP->STA1,51900,968,0.489431
52000,1,AP->STA1,52000,968,0.489441
52100,1,AP->STA1,52100,968,0.48947
52200,1,AP->STA1,52201,968,0.489481
52300,1,AP->STA1,52302,968,0.489491
52400,1,AP->STA1,52400,968,0.489519
52500,1,AP->STA1,52499,968,0.489529
52600,1,AP->STA1,52602,968,0.489558
52700,1,AP->STA1,52701,968,0.489568
52800,1,AP->STA1,52802,968,0.489596
52900,1,AP->STA1,52899,968,0.489605
53000,1,AP->STA1,53000,968,0.489615
53100,1,AP->STA1,53102,968,0.489644
53200,1,AP->STA1,53200,968,0.489653
53300,1,AP->STA1,53300,968,0.489681
53400,1,AP->STA1,53399,968,0.48969
53500,1,AP->STA1,53499,968,0.4897
53600,1,AP->STA1,53600,968,0.489728
53700,1,AP->STA1,53700,968,0.489737
53800,1,AP->STA1,53802,968,0.489765
53900,1,AP->STA1,53900,968,0.489774
54000,1,AP->STA1,53999,968,0.489783
54100,1,AP->STA1,54101,968,0.489811
54200,1,AP->STA1,54201,968,0.489819
